Price,Close,High,Low,Open,Volume,Adj Close,Daily_Return,Log_Return,Rolling_Volatility,Rolling_Mean
Ticker,BND,BND,BND,BND,BND,,,,,
Date,,,,,,,,,,
2015-12-09,61.641475677490234,61.7174250766054,61.49716776297402,61.6034980806488,2076900,61.641475677490234,-0.0003693802515745137,-0.0003694484892639276,0.0023024667986106576,61.579593912760416
2015-12-10,61.63393020629883,61.68709540930726,61.61873683711212,61.68709540930726,2004100,61.63393020629883,-0.00012240899667759209,-0.00012241648927027263,0.002251785568921026,61.56914202372233
2015-12-11,61.80095672607422,61.838928519483126,61.725001550123686,61.80095672607422,1994400,61.80095672607422,0.0027099767809115605,0.002706311414380509,0.0022177081842781623,61.571570587158206
2015-12-14,61.51236343383789,61.71743321250665,61.50477254912312,61.671858931375546,2974600,61.51236343383789,-0.00466972208076788,-0.004680659295375166,0.002338333855071604,61.55984039306641
2015-12-15,61.44401550292969,61.48958399305132,61.38325365305488,61.42882214317652,1806300,61.44401550292969,-0.0011111250989683796,-0.0011117428561071962,0.002320887635613717,61.549899164835615
2015-12-16,61.37567901611328,61.5199870127516,61.284542003138355,61.42125331717176,2332700,61.37567901611328,-0.001112174818931666,-0.0011127937442902882,0.002309429071065904,61.54121856689453
2015-12-17,61.5047607421875,61.53513586435254,61.43640223089772,61.45918646980519,2290500,61.5047607421875,0.002103141311729173,0.002100932806031573,0.002341921514526605,61.535576248168944
2015-12-18,61.641475677490234,61.64906656120435,61.535139565247746,61.588304724085134,3211500,61.641475677490234,0.0022228350074526837,0.0022203681646308805,0.0023545301572239306,61.53827959696452
2015-12-21,61.5731086730957,61.69463233057985,61.550324435959155,61.66425141620881,3158300,61.5731086730957,-0.0011091071984101752,-0.0011097227129554556,0.0022433386819112927,61.54678942362467
2015-12-22,61.489585876464844,61.55034772820078,61.474398310815424,61.5427510480915,2348600,61.489585876464844,-0.0013564817244212657,-0.0013574025785977198,0.0022526972937757885,61.55428530375163
2015-12-23,61.49721145629883,61.49721145629883,61.38295983628631,61.40581480915184,2538600,61.49721145629883,0.0001240141680138862,0.0001240064788926522,0.0022449562399762986,61.55976231892904
